Unnamed: 0,Unnamed: 1,Unnamed: 2,Bill of materials,Unnamed: 4,Unnamed: 5,Unnamed: 6
C45,CAP CER 22UF 25V X5R 1206,C_1206,Samsung Electro-Mechanics,CL31A226KAHNNNE,Fitted,1
C46,CAP CER 27PF 25V C0G/NP0 0402,C_0402,YAGEO,CC0402JRNPO9BN270,Fitted,1
"C47, C48, C53, C54, C60, C61",CAP CER 100PF 25V X7R 0402,C_0402,Wurth Electronics Inc.,885012205038,Fitted,6
"C49, C55, C62",CAP CER 0.47UF 25V X7R 0603,C_0603_HD,Wurth Electronics Inc.,885012206075,Fitted,3
C50,CAP CER 4700PF 16V X7R 0402,C_0402,Wurth Electronics Inc.,885012205029,Fitted,1
"C51, C59, C65",CAP CER 10000PF 100V X7R 0603,C_0603,YAGEO,CC0603KRX7R0BB103,Fitted,3
"C57, C64",CAP CER 2.2UF 10V X5R 0402,C_0402,Wurth Electronics Inc.,885012105013,Fitted,2
C66,CAP CER 10000PF 10V X7R 0402,C_0402,Wurth Electronics Inc.,885012205012,Fitted,1
D1,DIODE SCHOTTKY 20V 1A STMITEFLAT,do216-aa-flat,STMicroelectronics,STPS1L20MF,Fitted,1
D2,LED GREEN/RED CLEAR 4PLCC SMD,Led_bicolor_3528-PLCC-4,Wurth Electronics Inc.,150141RV73100,Fitted,1
"D3, D5",LED GREEN 0402 SMD,D_0402_Led_green,Everlight Electronics,16-213SYGC/S530-E3/TR8,Fitted,2
D4,"DIO, Rectangle with Flat Top, 1.00mm x 0.50mm, VLMS1500-GS08, 20mA, --, --, 0402 (1005 Metric)",D_0402_Led_red,Vishay Semiconductor Opto Division,VLMS1500-GS08,Fitted,1
